layer,hc_gain_mean,k3_proxy_w1,k3_proxy_w3,k3_proxy_w2,k4_proxy_w2,w2_k4_over_k3,n_eff_experts,top1_share,dead_experts_lt64_tokens
0,4.96,0.000833,0.00094,0.002849,0.000719,0.252,197.3,0.0232,1
1,5.962,0.0017,0.00186,0.004644,0.001175,0.253,152.1,0.0423,4
2,5.737,0.001433,0.001589,0.00464,0.001174,0.253,122.0,0.0336,2
3,6.833,0.001554,0.001754,0.00434,0.001166,0.269,71.8,0.0637,4
4,7.439,0.001852,0.002091,0.005473,0.001386,0.253,130.7,0.0268,2
5,7.531,0.002136,0.002407,0.005903,0.001496,0.253,102.5,0.0501,3
6,7.1,0.002049,0.002409,0.005861,0.001485,0.253,70.5,0.0691,1
7,5.071,0.002145,0.002574,0.006033,0.001528,0.253,72.3,0.0679,3
8,4.364,0.002194,0.002549,0.005863,0.001486,0.253,103.9,0.0354,2
9,4.414,0.002363,0.002799,0.006388,0.001619,0.253,72.6,0.0817,2
10,5.373,0.002682,0.003124,0.007391,0.001875,0.254,121.6,0.0444,0
11,5.539,0.002788,0.003358,0.007447,0.00189,0.254,132.5,0.0306,2
12,5.541,0.0029,0.003437,0.007727,0.001961,0.254,121.8,0.0357,0
13,5.395,0.00287,0.003512,0.007758,0.001969,0.254,164.8,0.0287,0
14,4.418,0.00248,0.002992,0.007198,0.001826,0.254,129.2,0.031,0
15,0.394,0.003163,0.003888,0.006268,,,159.6,0.0208,1
16,3.475,0.002707,0.003273,0.007457,0.001891,0.254,115.6,0.0375,0
17,2.853,0.003193,0.003966,0.008239,0.002092,0.254,138.6,0.0386,0
18,2.097,0.00278,0.003459,0.007319,0.001856,0.254,112.2,0.0303,2
19,1.131,0.002763,0.003375,0.00626,,,174.0,0.0301,0
20,1.838,0.002758,0.003284,0.00701,0.001778,0.254,109.7,0.0345,2
21,1.847,0.002967,0.003664,0.00718,0.001821,0.254,86.6,0.0695,7
22,1.777,0.003007,0.003854,0.007386,0.001873,0.254,56.2,0.0971,3
23,1.051,0.003457,0.004409,0.007246,0.001839,0.254,106.2,0.0333,8
24,1.415,0.002921,0.003748,0.007103,0.001801,0.254,90.1,0.0481,3
25,1.159,0.002806,0.003695,0.006884,0.001745,0.253,84.2,0.0382,3
26,1.02,0.003079,0.004226,0.007515,0.001906,0.254,56.4,0.0978,3
27,1.024,0.003731,0.004857,0.008379,0.002128,0.254,104.1,0.038,6
28,0.942,0.003148,0.004081,0.007352,,,91.1,0.0473,4
29,0.909,0.003528,0.004518,0.008064,,,131.1,0.0251,6
30,0.929,0.003591,0.00455,0.007981,,,89.3,0.0649,6
31,0.759,0.003413,0.004677,0.007719,,,91.3,0.053,12
32,0.902,0.003561,0.004661,0.008272,,,104.2,0.0385,7
33,0.663,0.003431,0.004529,0.007705,,,94.3,0.0482,9
34,0.605,0.00327,0.00436,0.006819,,,111.0,0.0271,7
35,0.504,0.002493,0.003769,0.006214,,,99.7,0.0436,17
36,0.207,0.002788,0.003702,0.006127,,,116.7,0.0285,14
37,0.123,0.002835,0.003465,0.005793,,,91.2,0.0692,10
38,0.098,0.002909,0.002968,0.005378,,,147.6,0.0289,19
39,0.033,0.00205,0.00198,0.003444,,,112.3,0.0411,26
