layer,type,tokens,attn_seam_absmax,attn_seam_median,attn_seam_p99,attn_seam_max_over_median,attn_seam_ch_gt8x,attn_seam_ch_gt32x,mlp_seam_absmax,mlp_seam_median,mlp_seam_p99,mlp_seam_max_over_median,mlp_seam_ch_gt8x,mlp_seam_ch_gt32x
0,dense,786432,1.8438,0.1348,0.3418,13.7,2,0,1.8203,0.0762,0.1689,23.9,6,0
1,dense,786432,2.3125,0.2227,0.4406,10.4,2,0,1.1953,0.0737,0.1357,16.2,2,0
2,dense,786432,1.2656,0.1553,0.399,8.2,1,0,1.75,0.0752,0.1248,23.3,2,0
3,moe,786432,2.6406,0.1221,0.3753,21.6,5,0,0.6758,0.0432,0.115,15.6,2,0
4,moe,786432,1.75,0.1396,0.3304,12.5,5,0,0.6172,0.064,0.1455,9.6,1,0
5,moe,786432,3.1094,0.1924,0.4316,16.2,8,0,0.7188,0.0718,0.1621,10.0,1,0
6,moe,786432,3.8594,0.1729,0.3711,22.3,8,0,1.9766,0.1016,0.2111,19.5,3,0
7,moe,786432,1.8047,0.1982,0.4855,9.1,2,0,1.5703,0.1416,0.2354,11.1,1,0
8,moe,786432,3.625,0.1357,0.3206,26.7,13,0,11.4375,0.1631,0.2363,70.1,3,1
9,moe,786432,1.6484,0.165,0.296,10.0,2,0,6.125,0.1787,0.255,34.3,1,1
10,moe,786432,1.5156,0.1191,0.2247,12.7,2,0,0.4238,0.1846,0.248,2.3,0,0
11,moe,786432,1.8047,0.127,0.2539,14.2,4,0,1.2422,0.1943,0.2559,6.4,0,0
12,moe,786432,1.5312,0.127,0.2281,12.1,4,0,1.0859,0.2119,0.2734,5.1,0,0
13,moe,786432,1.4688,0.1934,0.291,7.6,0,0,1.3984,0.2891,0.3789,4.8,0,0
14,moe,786432,1.3516,0.1445,0.2291,9.4,3,0,1.2656,0.3047,0.3926,4.2,0,0
15,moe,786432,1.3125,0.1582,0.2188,8.3,1,0,1.1328,0.3105,0.3965,3.6,0,0
16,moe,786432,1.7734,0.168,0.2598,10.6,3,0,1.0312,0.3262,0.4132,3.2,0,0
17,moe,786432,1.9141,0.1865,0.2676,10.3,4,0,1.0781,0.3516,0.4414,3.1,0,0
18,moe,786432,1.7266,0.1738,0.2441,9.9,3,0,0.9727,0.4062,0.5039,2.4,0,0
19,moe,786432,1.6719,0.1602,0.2261,10.4,2,0,0.9453,0.4355,0.5469,2.2,0,0
20,moe,786432,1.2969,0.1572,0.2109,8.2,1,0,0.9336,0.4727,0.5938,2.0,0,0
21,moe,786432,2.1094,0.1543,0.2295,13.7,2,0,0.8281,0.5234,0.6562,1.6,0,0
22,moe,786432,1.9297,0.1816,0.2471,10.6,2,0,0.9492,0.5352,0.6602,1.8,0,0
23,moe,786432,1.6953,0.1807,0.2715,9.4,1,0,0.8203,0.582,0.7227,1.4,0,0
24,moe,786432,1.7031,0.1885,0.2676,9.0,1,0,0.9023,0.6016,0.75,1.5,0,0
25,moe,786432,1.6953,0.1748,0.25,9.7,1,0,0.918,0.6211,0.7773,1.5,0,0
26,moe,786432,1.8047,0.1895,0.2648,9.5,1,0,0.9531,0.6289,0.7852,1.5,0,0
27,moe,786432,1.6094,0.1758,0.2451,9.2,1,0,1.1406,0.6719,0.8343,1.7,0,0
28,moe,786432,1.8438,0.2217,0.298,8.3,1,0,1.1406,0.7031,0.8555,1.6,0,0
29,moe,786432,1.6016,0.2051,0.2793,7.8,0,0,1.1328,0.7305,0.8889,1.6,0,0
30,moe,786432,1.6328,0.207,0.2695,7.9,0,0,1.2422,0.7734,0.9297,1.6,0,0
31,moe,786432,1.5469,0.2246,0.2852,6.9,0,0,1.3359,0.8359,1.0078,1.6,0,0
32,moe,786432,1.7031,0.2334,0.2999,7.3,0,0,1.3438,0.875,1.0547,1.5,0,0
33,moe,786432,1.3281,0.2363,0.291,5.6,0,0,1.5312,0.9414,1.125,1.6,0,0
34,moe,786432,1.4688,0.2158,0.2715,6.8,0,0,1.625,0.9844,1.1875,1.7,0,0
35,moe,786432,1.7578,0.252,0.3164,7.0,0,0,1.6953,1.0312,1.2266,1.6,0,0
36,moe,786432,1.6797,0.2617,0.3281,6.4,0,0,1.7422,1.0703,1.2734,1.6,0,0
37,moe,786432,1.8047,0.2471,0.3027,7.3,0,0,2.0156,1.1094,1.3281,1.8,0,0
38,moe,786432,1.8438,0.2275,0.2812,8.1,1,0,2.0,1.1719,1.3828,1.7,0,0
39,moe,786432,1.7188,0.2188,0.2726,7.9,0,0,2.0625,1.1953,1.4219,1.7,0,0
40,moe,786432,1.75,0.2256,0.2812,7.8,0,0,2.2812,1.2109,1.4609,1.9,0,0
41,moe,786432,1.6875,0.1963,0.2432,8.6,1,0,2.3281,1.25,1.4922,1.9,0,0
42,moe,786432,2.2969,0.2734,0.3359,8.4,1,0,2.4219,1.2891,1.5547,1.9,0,0
43,moe,786432,2.1875,0.2773,0.3418,7.9,0,0,2.25,1.3359,1.6016,1.7,0,0
44,moe,786432,1.8516,0.2461,0.3047,7.5,0,0,2.2812,1.3672,1.6328,1.7,0,0
45,moe,786432,2.2031,0.2773,0.3418,7.9,0,0,2.5625,1.4297,1.7109,1.8,0,0
46,moe,786432,1.5391,0.2197,0.2715,7.0,0,0,2.5938,1.4609,1.7422,1.8,0,0
47,moe,786432,2.1094,0.2695,0.332,7.8,0,0,2.7188,1.5,1.7734,1.8,0,0
48,moe,786432,1.8594,0.2812,0.3633,6.6,0,0,2.5781,1.5078,1.8047,1.7,0,0
49,moe,786432,1.2969,0.208,0.2617,6.2,0,0,2.75,1.5391,1.8438,1.8,0,0
50,moe,786432,1.7266,0.2793,0.3438,6.2,0,0,2.8438,1.5703,1.8716,1.8,0,0
51,moe,786432,1.7266,0.2275,0.2812,7.6,0,0,2.9531,1.6016,1.9219,1.8,0,0
52,moe,786432,2.0,0.2695,0.3312,7.4,0,0,3.2188,1.6484,1.9688,2.0,0,0
53,moe,786432,1.6953,0.2188,0.2754,7.8,0,0,3.0469,1.6641,1.9766,1.8,0,0
54,moe,786432,2.0,0.2715,0.3379,7.4,0,0,2.8125,1.7031,2.0312,1.7,0,0
55,moe,786432,1.9297,0.252,0.3164,7.7,0,0,2.875,1.7266,2.0469,1.7,0,0
56,moe,786432,1.9141,0.2617,0.3262,7.3,0,0,3.1406,1.7656,2.1094,1.8,0,0
57,moe,786432,2.0781,0.2637,0.3379,7.9,0,0,3.2344,1.7969,2.1562,1.8,0,0
58,moe,786432,2.1875,0.2578,0.339,8.5,1,0,3.3594,1.8281,2.1719,1.8,0,0
59,moe,786432,1.5859,0.1953,0.2559,8.1,1,0,3.0469,1.8594,2.2188,1.6,0,0
60,moe,786432,1.6406,0.2256,0.2793,7.3,0,0,3.1562,1.9141,2.2812,1.6,0,0
61,moe,786432,1.6953,0.2266,0.2891,7.5,0,0,3.2344,1.9609,2.3438,1.6,0,0
62,moe,786432,1.8359,0.2578,0.3203,7.1,0,0,3.2812,2.0,2.3906,1.6,0,0
63,moe,786432,1.8906,0.2578,0.3223,7.3,0,0,3.25,2.0625,2.4688,1.6,0,0
64,moe,786432,1.75,0.249,0.3105,7.0,0,0,3.3594,2.0938,2.5,1.6,0,0
65,moe,786432,1.8672,0.2578,0.3164,7.2,0,0,3.6875,2.1094,2.5156,1.7,0,0
66,moe,786432,2.2969,0.3027,0.3878,7.6,0,0,3.6094,2.2031,2.6406,1.6,0,0
67,moe,786432,1.9688,0.2754,0.3585,7.1,0,0,3.6875,2.2344,2.6808,1.7,0,0
68,moe,786432,1.5,0.2119,0.2754,7.1,0,0,3.4062,2.2969,2.7656,1.5,0,0
69,moe,786432,3.625,0.3398,0.4434,10.7,1,0,3.6406,2.3438,2.8214,1.6,0,0
70,moe,786432,2.1562,0.293,0.3828,7.4,0,0,3.25,2.3906,2.875,1.4,0,0
71,moe,786432,1.3594,0.2158,0.2941,6.3,0,0,3.5469,2.4688,2.9531,1.4,0,0
72,moe,786432,1.8359,0.2871,0.3809,6.4,0,0,4.0312,2.5938,3.1406,1.6,0,0
73,moe,786432,1.1328,0.2266,0.2988,5.0,0,0,4.3438,2.625,3.1719,1.7,0,0
74,moe,786432,1.3516,0.2793,0.3624,4.8,0,0,4.7188,2.6719,3.2344,1.8,0,0
75,moe,786432,1.5938,0.3418,0.4375,4.7,0,0,4.5,2.625,3.2031,1.7,0,0
76,moe,786432,2.5156,0.207,0.2804,12.2,1,0,9.5,2.4062,2.9062,3.9,0,0
77,moe,786432,1.8594,0.2158,0.3195,8.6,1,0,8.125,1.7734,2.2344,4.6,0,0
